Category,Country,Year,link
International Conference,Greece,2006,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2006
Reading tour,Syria - Aleppo,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
Reading tour,Syria - Damascus,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
Reading tour,Jordan ,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
Reading tour,Jerusalem,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
Reading tour,Palestinian Territories,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
Reading tour,Turkey,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east
International Conference,Greece,2007,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2007
Reading tour,Cyprus,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-cyprus
Reading tour,Oman,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east
Reading tour,Saudi Arabia - Riyadh,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east
Reading tour,Saudi Arabia - Dhahran,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east
Reading tour,Saudi Arabia - Jeddah,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east
Reading tour,Yemen,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east
International Conference,Greece,2008,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2008
Reading tour,Kenya,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-kenya-tour
International Conference,Morocco - Fes,2009,https://iwp.uiowa.edu/programs/international-conferences/souk-ukaz/2009
International Conference,China,2009,https://iwp.uiowa.edu/programs/life-of-discovery/2009
Reading tour,Morocco - Casablanca,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-Tunis-Morocco-Tour
Reading tour,Tunisia,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-Tunis-Morocco-Tour
International Conference,Morocco - Essaouira,2010,http://iwp.uiowa.edu/programs/international-conferences/souk-ukaz/2010
International Conference,China,2010,https://iwp.uiowa.edu/programs/life-of-discovery/2010
International Conference,China,2011,https://iwp.uiowa.edu/programs/life-of-discovery/2011
Reading tour,Nepal,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan
Reading tour,Pakistan,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan
Reading tour,United Arab Emirates,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan
Reading tour,Afghanistan,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan
Reading tour,Uruguay,2011,http://iwp.uiowa.edu/programs/reading-abroad/2011-uruguay-bolivia
Reading tour,Bolivia,2011,http://iwp.uiowa.edu/programs/reading-abroad/2011-uruguay-bolivia
Reading tour,Kenya,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-kenya-tour
Reading tour,Congo - Kinshasa,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-congo
Reading tour,Congo - Brazzaville,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-congo
International Conference,China,2012,https://iwp.uiowa.edu/programs/life-of-discovery/2012
Reading tour,Brazil - Fortaleza,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil
Reading tour,Brazil - Sao Paolo,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil
Reading tour,Brazil - Brasilia,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil
Reading tour,Cambodia - Phnom Penh,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour
Reading tour,Cambodia - Kampong Speu,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour
Reading tour,Cambodia - Krong Kampong Chhnang,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour
Reading tour,Cambodia - Krong Siem Reap,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour
Reading tour,Vietnam - Hanoi,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour
Reading tour,Mozambique,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour
Reading tour,Zimbabwe - Harare,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour
Reading tour,Zimbabwe - Masvingo,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour
International Conference,Turkey,2013,http://iwp.uiowa.edu/programs/international-conferences/the-same-gate
Reading tour,Iraq - Basrah,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq
Reading tour,Iraq - Baghdad,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq
Reading tour,Iraq - Erbil,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq
Reading tour,Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan
Reading tour,South Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan
Reading tour,Uzbekistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan
Reading tour,Turkmenistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan
Reading tour,United Arab Emirates - Abu Dhabi,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates
Reading tour,United Arab Emirates - Dubai,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates
Reading tour,United Arab Emirates - Sharjah,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates
Reading tour,Burma,2013,https://iwp.uiowa.edu/programs/reading-abroad/2013-burma-tour
Silk Routes,Maldives,2014,http://iwp.uiowa.edu/programs/silk-routes
Reading tour,Haiti,2014,http://iwp.uiowa.edu/programs/reading-abroad/2014-Haiti
Reading tour,Cuba,2014,http://iwp.uiowa.edu/programs/reading-abroad/2014-Cuba
Reading tour,China,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-China
Reading tour,United Arab Emirates,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-United-Arab-Emirates
Reading tour,Turkey,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey
Reading tour,Armenia,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey
Reading tour,Venezuela,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Venezuela
Reading tour,Colombia,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Colombia
Reading tour,Ukraine,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Ukraine
Distance Learning,Jordan ,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own
Distance Learning,Bahrain,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own
Reading tour,Jordan ,2016,No info
Reading tour,South Africa,2016,No info
Reading tour,India,2016,No info
Reading tour,Ecuador,2016,No info
Distance Learning,Afghanistan - Jalalabad,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Distance Learning,Afghanistan - Kabul,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Distance Learning,Afghanistan - Mazar-i-Sharif,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Reading tour,Morocco - Tangiers,2017,No info